ID,Description,Entry_ID,Attribution,Andative,Completive,Counterfactual,Etymology,Future,Habitual,Perfect,Potential,Progressive,Semantic_Domain,alt_translation1
4364,Sweets made with fried pieces of dough brought together into a ball with syrup made from unrefined brown sugar.,dxinyaxkimani7,,,,,,,,,,,food,Muégano.
4365,Honey from a natural bee hive.,dxinyayaga,,,,,,,,,,,food,Miel de colmena.
4366,Bone.,dxita1,JLC,,,,,,,,,,body parts,Hueso.
4367,"Egg. By extension, testicles.",dxita2,,,,,,,,,,,food,"Huevo. Por extensión, testículos."
4368,"Large human bone. For some, this lexeme refers specifically to the tibia, fibula and femur, and/or the humerus, ulna and radius.",dxitabaala,,,,,,,,,,,body parts,"Hueso grande del cuerpo humano. Para algunos, este lexema se refiere específicamente a la tibia, el peroné y el fémur, y/o al húmero, cúbito y radio."
4369,"Large bones of the arm, (humerus, ulna and/or radius). By association, forearm.",dxitabaalana7,RLC,,,,,,,,,,body parts,"Huesos grandes del brazo (húmero, cúbito y/o radio). Por asociación, antebrazo."
4370,Large leg bones (tibia and/or fibula).,dxitabaalanyee,,,,,,,,,,,body parts,Huesos grandes de las piernas (tibia y/o peroné).
4371,"Hipbone, pelvic girdle.",dxitabaalazha7na,,,,,,,,,,,body parts,Hueso de la pelvis.
4372,"Scapula, shoulder blade.",dxitabatadeche,,,,,,,,,,,body parts,"Omóplato, paleta (de la espalda)."
4373,Carpus.,dxitabatana7,,,,,,,,,,,body parts,Carpo.
4374,Tarsus.,dxitabatanyee,,,,,,,,,,,body parts,Tarso.
4375,"Phalanx, finger and/or hand bone.",dxitabikwinina7,JLC;RGL;RLC,,,,,,,,,,body parts,"Falange, hueso del dedo y/o de la mano."
4376,"Phalanx, toe bone.",dxitabikwininyee,EJG;JLC;RGL;RLC,,,,,,,,,,body parts,"Falange, hueso del dedo del pie."
4377,Rib.,dxitabini,,,,,,,,,,,body parts,Costilla.
4378,Skeleton.,dxitabidxi,,,,,,,,,,,body parts,Esqueleto.
4379,Cricoid cartilage known as Adam's apple.,dxitabigaraaguyanni,,,,,,,,,,,body parts,El cartílago cricoides conocido en castellano como manzana de Adán o nuez de Adán.
4380,Sternum.,dxitabiitula7dxido7,,,,,,,,,,,body parts,Esternón.
4381,"Coccyx, tailbone.",dxitabiituzha7na,,,,,,,,,,,body parts,"Coxis, rabadilla."
4382,Sacrum.,dxitadozha7na,,,,,,,,,,,body parts,Sacro.
4383,Humerus.,dxitadubana7,,,,,,,,,,,body parts,Húmero.
4384,Metacarpus.,dxitageerena7,,,,,,,,,,,body parts,Metacarpo.
4385,Metatarsus.,dxitageerenyee,,,,,,,,,,,body parts,Metatarso.
4386,Soft shell chicken egg.,dxitagidi,,,,,,,,,,,food,Huevo de gallina que sale blando.
4387,Egg shell.,dxitagulaa,,,,,,,,,,,food,Cascarón de huevo.
4388,Dewclaw in dogs. Those that have it are considered good for hunting.,dxitaguuze,,,,,,,,,,,animals,Espolón de perro. Aquellos que lo tienen se les considera buenos para la cacería.
4389,Yolk and albumen of a chicken egg prior to shell formation.,dxitagye7,,,,,,,,,,,life stages,Yema y albúmina de un huevo de gallina antes de formarse la cáscara.
4390,"Skull, or more specifically, parietal bone.",dxitaike,RGL,,,,,,,,,,body parts,"Cráneo, o más específicamente hueso parietal."
4391,"Tibia, shinbone.",dxitakanya,RGL,,,,,,,,,,body parts,"Tibia, la espinilla."
4392,Egg white.,dxitakichi7,,,,,,,,,,,food,Clara de huevo.
4393,Elbow.,dxitakodona7,,,,,codo,,,,,,body parts,Hueso del codo.
4394,Femur.,dxitako7re,JLC,,,,,,,,,,body parts,Fémur.
4395,Parietal bone.,dxitakwe7ike,EJG;JLC,,,,,,,,,,body parts,Hueso parietal del cráneo.
4396,Sternum.,dxitala7dxido7,,,,,,,,,,,body parts,Esternón.
4397,Side region of the mandible.,dxitalaya,,,,,,,,,,,body parts,Región lateral de la mandíbula.
4398,Mandible.,dxitalayagete7,RLC,,,,,,,,,,body parts,Maxilar inferior.
4399,Maxilla.,dxitalayagya7,JLC;RGL;RLC,,,,,,,,,,body parts,Maxilar superior.
4400,Cheekbone.,dxitalu,,,,,,,,,,,body parts,Pómulo.
4401,"Scapula, shoulder blade.",dxitalule7,,,,,,,,,,,body parts,"Omóplato, paleta (de la espalda)."
4402,Frontal bone.,dxitalukwa,,,,,,,,,,,body parts,Hueso frontal (de la frente) del cráneo.
4403,This lexeme refers to any protruding bone such as those of the human hip or the shins of quadrupeds. It also refers to a skinned bone.,dxitamangaara,,,,,,,,,,,body parts,Este lexema se refiere a cualquier hueso salido o protuberante como los de las caderas de humano o los de las espinillas de animales cuadrúpedos. También se refiere a un hueso descarnado.
4404,"Coccyx, tailbone.",dxitamulitazha7na,,,,,mulita,,,,,,body parts,"Coxis, rabadilla."
4405,Articulations between bones.,dxitanuu,,,,,,,,,,,body parts,Articulaciones entre los huesos.
4406,Ulna.,dxitana7,,,,,,,,,,,body parts,Cúbito.
4407,Fibula.,dxitandasenyee,EJG;RLC,,,,,,,,,,body parts,Peroné.
4408,"Coccyx, tailbone.",dxitanduzha7na,EJG;RLC,,,,,,,,,,body parts,"Coxis, rabadilla."
4409,"This lexeme is used to describe a child who is malnourished and boney, either at birth due to the mother's own malnourishment during pregnancy, or due to breastfeeding that is insufficient or abruptly interrupted.",dxitaniidxi,,,,,,,,,,,physical attributes,"Este lexema se usa para describir a un niño desnutrido y flaco ya sea al nacer por falta de nutrición adecuada de la madre durante el embarazo, o por una lactancia insuficiente o interrumpida abruptamente."
4410,Tibia or shinbone and other leg bones.,dxitanyee,,,,,,,,,,,body parts,Tibia y otros huesos de la pierna.
4411,Shoulder blade.,dxitapaleta,,,,,paleta,,,,,,body parts,Omóplato.
4412,"Forearm bones, i.e., the radius and ulna.",dxitapenkana7,,,,,penca,,,,,,body parts,"Los huesos del antebrazo, es decir, el radio y el cúbito."
4413,Wrist bone and elbow.,dxitaporrana7,,,,,porra,,,,,,body parts,Huesos de la muñeca y del codo.
4414,Ankle bone.,dxitaporranyee,EJG;JLC;RLC,,,,porra,,,,,,body parts,Hueso del tobillo.
4415,Cartilage.,dxitari7ni,,,,,,,,,,,body parts,Cartílago.
4416,Costal cartilage.,dxitarwaaxkuxtya,,,,,costilla,,,,,,body parts,Cartílago del borde de las costillas (borde costal).
4417,Cheekbone.,dxitatinilu,,,,,,,,,,,body parts,Pómulo.
4418,"Jawbone, mandible.",dxitaxkejada,JLC;RLC,,,,quijada,,,,,,body parts,"Quijada, mandíbula."
4419,Pubis.,dxitaxkurrgi7,EJG;RLC,,,,,,,,,,body parts,Pubis.
4420,"Temple bone (possibly the sphenoid bone), temporal bone.",dxitaxkwa7sa,,,,,,,,,,,body parts,"Hueso de la sien (posiblemente el esfenoides), hueso temporal."
4421,Testicles.,dxitaxkye,,,,,,,,,,,body parts,Testículos.
4422,Bird's breastbone.,dxitaxpechu,,,,,,,,,,,animals,Espoleta de aves.
4423,Fish skull bones around and behind the eye.,dxitaxxagabenda,,,,,,,,,,,animals,Huesos del cráneo de los peces alrededor y detrás del ojo.
4424,"Scapula, shoulder blade.",dxitaxzhyaadeche,EJG;JLC,,,,,,,,,,body parts,"Omóplato, paleta (de la espalda)."
4425,Wrist bones.,dxitayannibatana7,EJG,,,,,,,,,,body parts,Huesos de la muñeca.
4426,Possibly the cervical vertebrae or the dewlap of a bird.,dxitayannimani7wiini,,,,,,,,,,,animals,Posiblemente las vértebras cervicales o la barbilla de una ave.
4427,"Malleolus, anklebone.",dxitayanninyee,,,,,,,,,,,body parts,"Maléolo, hueso del tobillo."
4428,"Hind quarters of a horse, and in particular the bone that looks like an ankle.",dxitayanninyeemani7,,,,,,,,,,,animals,Cuartilla trasera del caballo y en particular el hueso que parece tobillo.
4429,Occipital bone and bones of the nape.,dxitazha7yanni,,,,,,,,,,,body parts,Hueso occipital y huesos de la nuca.
4430,"Hip, iliac bone.",dxitazha7na,,,,,,,,,,,body parts,"Cadera, ilíaco."
4431,"Pope's nose, bishop's nose or parson's nose in chickens (pygostyle).",dxitazha7nabere,EJG;RLC,,,,,,,,,,wellness,Rabadilla de pollo (pigóstilo).
4432,Heel bone.,dxitazhatininyee,,,,,,,,,,,body parts,Hueso del talón.
4433,"Patella, kneecap.",dxitazhibi,,,,,,,,,,,body parts,"Rótula, patela."
4434,Nasal bone.,dxitazhii,,,,,,,,,,,body parts,Hueso nasal.
4435,"Spine, backbone.",dxitanezadeche,,,,,,,,,,,body parts,"Columna vertebral, espina dorsal."
4436,Soft shell chicken egg.,dxitabanda7,,,,,,,,,,,food,Huevo de gallina que sale blando.
4437,"Beef on the bone. By association, beef broth with bone.",dxitabeela,EJG;JLC;RLC,,,,,,,,,,food,"Carne de res con hueso. Por asociación, caldo de res con hueso."
4438,Meat on a bone which has been air-dried and is used to flavor a broth.,dxitabeelaoryadu,,,,,,,,,,,food,Carne con hueso oreada que se usa para darle sabor al caldo.
4439,Meat on a bone which has been air-dried and is used to flavor a broth.,dxitabeelayaa,,,,,,,,,,,food,Carne con hueso oreada que se usa para darle sabor al caldo.
4440,Chicken egg.,dxitabere,,,,,,,,,,,food,Huevo de gallina.
4441,Hard boiled chicken egg.,dxitaberegye,,,,,,,,,,,food,Huevo de gallina hervido.
4442,Clavicle.,dxitabiga7yanni,,,,,,,,,,,body parts,Clavícula.
4443,"Jawbone, mandible.",dxitarwaa,EJG;JLC;RLC,,,,,,,,,,body parts,"Quijada, mandíbula."
4444,Man!,dxo,,,,,,,,,,,speech acts,¡Hombre!
4445,"Loincloth, male bottom garment made of a single piece of white woven cotton cloth.",dxu,,,,,,,,,,,clothing and adornment,"Taparrabos, calzón de manta blanca de hombre."
4446,Beer (lit. distilled).,dxu7ni,,,,,,,,,,,beverages,Cerveza (lit. destilado).
4447,"Man who does not belong to the community and/or does not speak Didxazá, foreigner, outsider, stranger, and even soldier, as the latter are usually sent by outside entities.",dxuyu,,,,,,,,,,,social categories,"Hombre que no pertenece a la comunidad y/o no habla didxazá, extranjero, fuereño, forastero, e incluso soldado, pues estos últimos suelen ser enviados desde fuera."
4448,"Man who does not belong to the community and/or does not speak Didxazá, foreigner, outsider, stranger, and even soldier, as the latter are usually sent by outside entities.",dxu7,,,,,,,,,,,social categories,"Hombre que no pertenece a la comunidad y/o no habla didxazá, extranjero, fuereño, forastero, e incluso soldado, pues estos últimos suelen ser enviados desde fuera."
4449,A derogatory term used to refer to foreign troops during the second French occupation of Mexico between. Jiménez Girón (1979:203) describes the soldiers as exceedingly dirty “because in their exhausted bodies you could see for miles their filth due to not having bathed for a long time” (translation by Pérez Báez).,dxu7biidi,RGL;RLC,,,,,,,,,,demonym,"Gentilicio despectivo para referirse a las tropas extranjeras durante la segunda ocupación francesa en México. Jiménez Girón (1979:203) describe este lexema de la siguiente manera: ""Soldados remugrosos. Era el apodo que en Juchitán (Guidxiguie') recibieron aquellos franceses, porque en su extenuado cuerpo solo se advertía a leguas la asquerosa mugrosidad de largo tiempo de no bañarse""."
4450,Sound of a water pitcher filling up.,dxumdxumdxumdxumdxumdxumdxum,RGL;RLC,,,,,,,,,,sound symbolism,Sonido de un ánfora de agua llenándose.
4451,"Jiménez Girón (1979:72) states that this lexeme refers to the bird know in Spanish as 'tordo'. In La Ventosa, this lexeme is understood to refer to a small bird with distinct plumage on the chest.",dxundxuri7,,,,,,,,,,,animals,Jiménez Girón (1979:72) indica que este lexema se refiere al pájaro conocido en castellano como tordo. En La Ventosa se describe a este pájaro como uno de tamaño pequeño con plumaje distintivo en el pecho.
4452,Sound of a puppy suckling or of a baby sucking from a baby bottle.,dxu7dxu7dxu7,,,,,,,,,,,sound symbolism,Sonido que hace un cachorrito al mamar o que hace un bebé al beber de una mamila.
4453,Sound of a liquid dripping.,dxu7chu,,,,,,,,,,,sound symbolism,Sonido de líquido goteando.
4454,Chocolate.,dxuladi,JLC;RLC,,,,chocolate,,,,,,food,Chocolate.
4455,Basket or similar containers made of hand-woven palm fibers or synthetic materials.,dxumi,,,,,,,,,,,tools and implements,"Canasta, cesta, chiquihuite."
4456,Shallow basket used for shopping at the market.,dxumichaparru,,,,,chaparro,,,,,,tools and implements,Canasto chaparrito para llevar al mercado.
4457,Palm basket with a handle used for storing eggs.,dxumidxita,,,,,,,,,,,tools and implements,Canasta de palma con agarradera que se usa para guardar huevos.
4458,Jiménez Girón (1979:71) describes this basket as made of reed or palm leaves and designed for harvesting corn on the cob. He indicates that its capacity is the third part of unit of measure called 'redada'.,dxumigela,,,,,,,,,,,tools and implements,"Jiménez Girón (1979:71) describe este canasto de carrizo o de pencas de palma como ""canasto grande para la pizca de mazorca, cuya capacidad es la tercera parte de una redada""."
4459,"Basket made of reeds or palm leaves, designed with a handle for storing tortillas.",dxumigeta,,,,,,,,,,,tools and implements,Canasto de carrizo o de pencas de palma con agarradera para guardar tortillas.
4460,"Basket made of reeds or palm leaves, and designed to suit the needs of fishermen. The basket has two leather side handles through which a leather strap is looped. The leather strap is placed on the forehead and the basket is carried on the back.",dxumiguuze,,,,,,,,,,,tools and implements,Canasto elaborado con carrizo o pencas de palma y diseñado para los usos de los pescadores con asas de cuero donde se inserta el mecapal.
4461,Basket made of reeds or palm leaves with a wide and round shape for multiple purposes including storing bread.,dxumilaga,,,,,,,,,,,tools and implements,Canasta elaborada con carrizo o pencas de palma y de forma redonda y ancha para satisfacer distintos usos incluyendo para guardar pan.
4462,Basket made of reeds and designed with a shoulder strap to use in harvesting.,dxuminiza,,,,,,,,,,,tools and implements,Canasta elaborada con carrizo y diseñada para la pizca con un mecate para cargar en el hombro.
4463,Jiménez Girón (1979:71) describes this basket as made of reed or palm leaves and designed for harvesting corn on the cob. He indicates that its capacity is the third part of unit of measure called 'redada'.,dxumisu,,,,,,,,,,,tools and implements,"Jiménez Girón (1979:71) describe este canasto de carrizo o de pencas de palma como ""canasto grande para la pizca de mazorca, cuya capacidad es la tercera parte de una redada""."
4464,"Scarce, in reduced quantity.",dxunu7,EJG;RLC,,,,,,,,,,measure and quantity,"Escaso, en cantidad reducida."
4465,"Unrefined sugar molded into cones known in Spanish as 'piloncillo', 'panela', or 'melcocha'.",dxunyi,,,,,,,,,,,food,"Azúcar sin refinar moldeada en forma de cono, conocida en castellano como piloncillo, panela o melcocha."
4466,Griddle.,dxya,,,,,,,,,,,tools and implements,Comal.
4467,"Ear. By extension, this may refer to handles in certain types of containers.",dyaga,EJG;RLC;VC,,,,,,,,,,body parts,"Oreja, oído. Por extensión, asa de algunos recipientes."
4468,Someone with big ears (Jiménez Girón 1979:66).,dyagabata,,,,,,,,,,,physical attributes,Persona orejona (Jiménez Girón 1979:66).
4469,Beam built into a wall to support a window.,dyagabentana,,,,,ventana,,,,,,construction,Travesaño que se inserta en la pared para empotrar una ventana.
4470,"This lexeme has been described in multiple ways by different knowledge bearers. With respect to plants, it has been documented to designate corn smut, the bark of a particular tree, and a part of a bush. In relation to certain animals that are eaten, such as goat or deer, this lexeme can designate two small appendages found between the animal's organs.",dyagabindxaba7,,,,,,,,,,,plants,"Este lexema ha sido descrito de múltiples maneras por distintos conocedores. Con respecto a las plantas, se ha documentado que designa el huitlacoche, la corteza de un árbol en particular, y una parte de una mata. Con relación a ciertos animales que se consumen como la cabra o el venado, este lexema puede designar a dos pequeños apéndices que se encuentran entre los órganos del animal."
4471,"Deaf person. This lexeme also refers to an ear that is oozing due to an infection. Given the latter, it is possible that this is a pejorative term when it is used to refer to a person.",dyagadxe7,JLC;RGL;RLC,,,,,,,,,,wellness,"Persona sorda. También se refiere a una oreja que supura por infección. Por lo último, es posible que este lexema tenga connotaciones despectivas si se refiere a una persona."
4472,Deaf person.,dyagakwa7ta,JLC;RGL;RLC,,,,,,,,,,wellness,Persona sorda.
4473,Donkey or mule.,dyagalaga,,,,,,,,,,,animals,Burro o mula.
4474,Horse ear.,dyagamani7,,,,,,,,,,,animals,Oreja del caballo.
4475,Ear that is not well formed.,dyagapaaxu,,,,,,,,,,,wellness,Oreja que no está bien formada.
4476,Beam built into a wall to support a door.,dyagapwerrta7,,,,,puerta,,,,,,construction,Travesaño que se inserta en la pared para empotrar una puerta.
4477,Person with big ears.,dyagaroo,,,,,,,,,,,physical attributes,Persona orejona.
4478,Appendix.,dyapendis,,,,,apéndice,,,,,,body parts,Apéndice.
4479,"Painted, colored, dyed.",dye7,,,,,,,,,,,manner,"Pintado, coloreado, teñido."
4480,"Color, paint, dye.",dyee-2,EJG,,,,,,,,,,color,"Color, pintura, tinte."
4481,God.,dyos,,,,,Dios,,,,,,spirituality,Dios.
4482,God.,dyuzhi1,RLC,,,,dios,,,,,,spirituality,Dios.
4483,Greetings.,dyuzhi2,,,,,Dios,,,,,,communication,Saludos.
4484,Exclamation of protest to denounce unequal treatment.,eje7,,,,,,,,,,,speech acts,Exclamación de protesta que denuncia un trato desigual.
4485,Male name Israel.,el,,,,,,,,,,,names,Israel.
4486,Sound of a car or bus.,emememrrrr,,,,,,,,,,,sound symbolism,Sonido que hace un coche o un camión.
4487,"That's it!, exclamation to indicate that an object or an objective was obtained.",eskate,,,,,,,,,,,speech acts,"¡Eso mero!, ¡así mero!, exclamación para indicar que un objeto se obtuvo o un objetivo se logró."
4488,Sound of a donkey before braying.,efefefe,JLC;RLC,,,,,,,,,,sound symbolism,Sonido de un burro antes de rebuznar.
4489,Sound of disgust.,e7-2,,,,,,,,,,,sound symbolism,Sonido de asco.
4490,Drops of vaginal blood placed on a handkerchief as proof of a bride's virginity.,echu,,,,,hecho,,,,,,substances,Gotas de sangre vaginal que se colocan en un pañuelo como prueba de la virginidad de una novia.
4491,Cross axis of a cart.,ejekarreta,EJG;JLC;RLC,,,,eje,,,,,,meronym,Eje transversal de una carreta.
4492,"Gossipy, referring to a woman.",eko,,,,,eco,,,,,,character attributes,Chismosa.
4493,Male name Eleazar.,elle,,,,,,,,,,,names,Eleazar.
4494,Male name Rogelio.,ello,,,,,,,,,,,names,Rogelio.
4495,Name given to Eresma and Rosalino as a couple.,emarosa,RGL;RLC,,,,Ema,,,,,,names,Pareja formada por Eresma y Rosalino.
4496,Male name Elvis.,epi,,,,,,,,,,,names,Elvis.
4497,Nickname given to a man by the name of Rómulo.,erika,,,,,,,,,,,names,Apodo que designa a un hombre llamado Rómulo.
4498,Hernia.,ernya,,,,,hernia,,,,,,wellness,Hernia.
4499,"Expression used in the game of hide-and-seek, known as guendarigaachi' sinturón, to announce that the player who is to find a hidden belt is heading out to look for it.",es,RLC,,,,es,,,,,,games and toys,"Expresión que se usa en el juego de escondidillas conocido como guendarigaachi' sinturón, y que anuncia que el jugador que tiene que encontrar el cinturón va a salir a buscarlo."
4500,Female name Zobeida.,eyda,,,,,,,,,,,names,Zobeida.
4501,Sound of a gasp.,e7lh,,,,,,,,,,,sound symbolism,Sonido de un grito ahogado.
4502,Sound of a burp.,ehrrp,RLC,,,,,,,,,,sound symbolism,Sonido de un eructo.
